;uso_internet_escolar;actividades_digitales_aula;habilidades_digitales_basicas;habilidades_digitales_avanzadas;motivacion_creacion_tic;protagonismo_estudiantil;aprendizaje_con_tecnologia
uso_internet_escolar;1,0;0,35631694861547475;0,3231842474663841;0,18553791086287771;0,13323373422735696;0,08058406583806112;0,13724216403345976
actividades_digitales_aula;0,35631694861547475;1,0;0,2297982445005313;0,2579967319398366;0,09711144819187076;0,2294128905658591;0,21432375724762423
habilidades_digitales_basicas;0,3231842474663841;0,2297982445005313;1,0;0,4925339828454612;0,27321373730815085;-0,044281949366139536;-0,012415193310852824
habilidades_digitales_avanzadas;0,18553791086287771;0,2579967319398366;0,4925339828454612;1,0;0,13911906124243023;0,1003683685623038;0,09442456135217916
motivacion_creacion_tic;0,13323373422735696;0,09711144819187076;0,27321373730815085;0,13911906124243023;1,0;0,026288565243146628;0,05262202831424999
protagonismo_estudiantil;0,08058406583806112;0,2294128905658591;-0,044281949366139536;0,1003683685623038;0,026288565243146628;1,0;0,6430568294542647
aprendizaje_con_tecnologia;0,13724216403345976;0,21432375724762423;-0,012415193310852824;0,09442456135217916;0,05262202831424999;0,6430568294542647;1,0
